Comment,Compound,Positive,Neutral,Negative
"If you are an alum, call your school. If you have a place you aren't using in New York, use airbnb but charge a dollar for per night medical workers. And every damn hotel that is getting bailed out needs to open its doors. Marriott.",-0.5499,0.0,0.922,0.078
"The Airbnb barons (who own multiple rental units in defiance of regulations) are hurting. Let's hope that continues. And after the catastrophe, regulate the shit out of those landlords -""Airbnb likely removed 31,000 homes from the Canadian rental market"" : https://www.vice.com/en_ca/article/5dma7q/after-years-of-hoarding-housing-supply-toronto-airbnb-hosts-are-panicking",-0.8316,0.058,0.726,0.216
"Hey @bookingcom how about you waive those cancellation fees. We can't visit Amsterdam or Brussels at Easter but you continue to ignore our requests for a full refund. Your company is looking bad, whereas the excellent @Airbnb_uk have quickly refunded.",-0.4497,0.103,0.734,0.163
.@Airbnb_uk are helping to connect UK medical professionals on the frontline with hosts offering free places to stay during the COVID-19 pandemic https://www.airbnb.co.uk/d/medicalstaysuk #businessheroes @SharEconUK,0.6705,0.193,0.807,0.0
"We spent 2 nights in Athens, 2 nights in Mykonos and 3 nights in Santorini. We booked all of our accommodation via Airbnb. Our place in Santorini was the best. It’s called Cally Cave House ",0.6369,0.119,0.881,0.0
"I wanna get an Airbnb for a night in Downtown and drink, eat, bump music, just chill with someone ",0.0,0.0,1.0,0.0
Airbnb hosts are offering free accommodation to help ‘heroic’ NHS workers ,0.7184,0.4,0.6,0.0
" Hot off the press: “ Issue #192: AirBnb and COVID-19, Remote Jobs and Leon's Profit-Pivot” https://www.getrevue.co/profile/Andy-Ayim/archive/235205 (via @revue)",0.0,0.0,1.0,0.0
I wish I had enough money to get a little airbnb in LA for a month to self isolate there so I could at least have a backyard and just relax away from this bs with my dogs. Living alone in a studio apartment for another month has me like ,0.6486,0.162,0.762,0.076
Update on the empty AirBNb house next door and the chirping smoke detector: Still chirping. I first noticed it in late November. Day and night it chirps inside the empty house. I alone hear the cries of the lonely smoke detector. Perhaps a brick could keep it company?,-0.8316,0.0,0.787,0.213
"Fuck Airbnb for not taking my side of the dispute and not issuing a full refund! HELLO we can’t use the Airbnb we booked bc of the #coronavirus!!! I’m at a loss for fuckin $3,415! there is a government mandated stay-at-home order wtf I’M GETTING ROBBED! @Airbnb #AirbnbrefundNOW",-0.9256,0.0,0.753,0.247
"My god these numbers. One guy owns an AirBnB and manages TWO DOZEN others. These ""small family businesses"" ruined New Orleans rental markets for working people and I don't care if all these owners lose their shirts. ",-0.7452,0.049,0.752,0.198
"Oh the poor gentrifiers! “noting that the house might rent for around $2,000 a month — a quarter of what it would make via Airbnb during peak months.” #wah Amid coronavirus crisis, New Orleans Airbnb landlords suffer unprecedented slump ",-0.8999,0.0,0.75,0.25
Street driving to the track for FinalBout SSS from our Airbnb was a blast I’m gonna miss driving with the friends once this car is gone ,0.3612,0.112,0.83,0.058
An airbnb and the club is a must w my friends after all of this is over !!!!,0.6449,0.222,0.778,0.0
"Airbnb to Halt All Marketing, Most Hiring as Losses Mount ",-0.4522,0.0,0.752,0.248
thinking about how we had to cancel our @Airbnb due to covid-19 because we have multiple immunocompromised members of our party but @AirbnbHelp still isn’t being helpful with the extenuating circumstances policy,0.6187,0.154,0.804,0.042
"A year ago today, we closed on our NOLA duplex. #WHP @KenDoll45 @Airbnb https://hirethekrewe.com/airbnb",0.0,0.0,1.0,0.0
